Destination_name,POI_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,POI_reviews
Anaheim,Disney California Adventure Park,15495,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,"Disney California Adventure is an excellent addition to the regular Disneyland Theme Park.  I know that California and Florida have a rivalry between Disneyland and Disneyworld.  California Adventure Land is California's rival addition.  I do not give it more stars, simply"
Anaheim,Disney California Adventure Park,15496,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,"There were so many things wrong with this event I dont know where to start. I sent Disney an email asking for a refund. Very unorganized and not properly executed. It was a mess..no food, long walk to get in the park and long lines to get food after trying to figure out how to"
Anaheim,Disney California Adventure Park,15497,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,Having to maneuver Disneyland California Adventure during COVID was less daunting than I thought. EVERY SINGLE cast member was on top of every guest to make sure there was social distancing and proper mask-wearing while in the park. The custodians were on top of wiping down the
Anaheim,Disney California Adventure Park,15498,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,Buena Vista Street open only to stores and some restaurants. It was open and the best time is early morning at gate opening.
Anaheim,Disney California Adventure Park,15499,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,I went to Disneyland in January of 2020. Right before covid hit! Had a blast! I loved all the rides!
Anaheim,Disney California Adventure Park,15500,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,My family and I went here during February we wanted to go to the Chinese new year celebration. Also if you go during the Chinese New Year celebration then you get to watch the cool acrobats and they also had cool shows with fireworks on the water at night!
Anaheim,Disney California Adventure Park,15501,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,"My niece and nephews loved it here. It was a fun outing and spent the whole day in the park...it was sunny as well, that was the icing on the cake."
Anaheim,Disney California Adventure Park,15502,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,I would love to know why anyone would build a park where the sun is so bright. We went there in the morning and it was so bright I had to wear sunglasses and put a cap on. Then later in the day when the sun finally started to go down I had to take my sunglasses off and put them
Anaheim,Disney California Adventure Park,15503,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,"What a time we had exploring the adventure park, eating ice creams on the way round, later on, a Turkey leg was scrumptious, the day was full of enjoyment for all of us with plenty to do and lots to watch. Highly recommended."
Anaheim,Disney California Adventure Park,15504,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,"We absolutely loved it here.  I went with my two children then 12 and 16, it was our first trip, just the three of us.  We felt safe and had a really fun time.  It was very hot so we needed two stop lots, there appeared to be lots of seating and we did have to find some in the"
Anaheim,Disney California Adventure Park,15505,"Amusement & Theme Parks, Disney Parks & Activities","Experience the thrill of the an old wooden rollercoaster, but with modern twists, turns and technology, at ""California Screamin."" Or enjoy a live performance by your favorite characters at Disney's newest theme park, featuring a slew of exciting...",4.5,"1313 Disneyland Drive, Anaheim, CA 92803-3232",NA,,We loved it. I highly recommended getting the Fast Pass that you can access and submit for fast pass conveniently from your phone. Easy Peasy.
