Destination_name,POI_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,POI_reviews
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"We visited the  Getty Center, which is located at the top of  hill, allowing to have panoramic viewpoints on Los Angeles city. The works of art are very well highlighted in these bright buildings with beautiful modern architecture. We saw very fine paintings, especially from"
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,Getting there is half the experience.  A beautiful drive up.  High in the hills with gorgeous views.  The gardens are so peaceful.  The restaurant dining is delicious.  The paintings are truly too beautiful to behold.
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"One of the best museums around socal! Must go! Great views, plentiful parking, great and clean exhibition. Must reserve through website I believe."
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,A great place to see! I always visit it with my friends and family who live out of Cali. Views and gardens give me inspirations.
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"Surprisingly cool, even on hot days. The gardens are one of the best parts. On very clear days, you can walk on the balconies around the building and get views all the way to the ocean."
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"Who knew? Wow, the Getty Center is world class.  If you like world class art, you must go!  Little Boy Blue suprised me.  The painting I had only seen in textbooks was prominently in display.  Fabulous."
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"It is one of a kind, amazing museums containing beautiful art exhibits from different parts of the world, and the buildings have a really nice design which makes them an art piece on their own.  The mesmerizing garden is truly overwhelming, and when you hear the story about how"
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"I came here 10 years ago but visited again all is still overwhelming.  It's a such beautiful museum and you can take uber to there (shuttle tram platform), and you can also call uber back to LA, it's quite convenient.   Once you reach this museum, you need to take the the tram"
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"This is a one-of-a-kind museum, full of world-class art, beautiful gardens, and cool modern architecture. The museum is free with a reasonable parking fee, so carpool with friends. I would recommend researching what you want to see while you’re there ahead of time, as it is"
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"The Getty Center is a must see - and admission to this amazing museum is free!  Parking when we were there was $19, and from the parking area, you get on a tram that takes you up to the museum.  An interesting orientation film about the museum started our visit. We didn't"
Los Angeles,The Getty Center,14503,Specialty Museums,"Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,"1200 Getty Center Dr N Sepulveda Blvd & Getty Center Dr, Los Angeles, CA 90049-1657",Suggested Duration:2-3 hours,,"Magnificent place in the city, the collections transport us through the great artistic movements of humanity. With spectacular views of the city of Los Angeles."
