Destination_name,POI_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,POI_reviews
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"This was a fun thing to do to escape the heat of the desert. You do need a reservation ahead of time, as well as a parking pass. One thing that was surprising was the person at the entrance was armed with a taser and a gun. We wondered why the entrance person needed to be armed."
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"The web site says that you can purchase & print tickets on line in advance.  Since we were travelling and didn't have access to a printer, we drove there intending to purchase tickets then.  There the rent-a-cop at the gate told us that you MUST purchase on-line and download and"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"So glad we did this as a family. Breathtaking views. Over 8,000 feet elevation gain from Palm Springs. Got tickets for 6pm on a Sunday - the last ride up - and was treated to a beautiful sunset coming down. Make sure you get there at least 5-10 minutes before the ticket time."
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"Great afternoon activity.  The staff was very friendly and the views from the tram were great as the rotating platform ensures everyone gets a chance to see the different viewpoints.  In the tram, it wasn't as physically distanced as probably recommended, but because there were"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"Didn’t realize we needed reservations, not mentioned on website. Turned away and told to come back in 1/2 hour ( two times) . Finally allowed to enter to find almost no one there . Disappointing policy.  Rotating gondola car very unique and the views are amazing from the car and"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"I was excited to get tickets for the tram, but I did not find it covid safe at all. We were going to be on the tram with about 30 people (I guess they normally allow 80!) We did not feel comfortable at all with that size group for a 10-15 minutes ride in such close quarters. I"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"A wonderful experience.  Easy, inexpensive and should not be missed.  Despite my discomfort with heights, I felt comfortable and safe."
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"Though limited numbers of visitors are allowed daily the program is run well and is very safe and COVID careful.  Well worth the visit. Hiking is very good their so be sure to pack hiking gear, water, snacks for a day stay.  "
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,Bought tickets a few weeks in advanced as recommended. Upon arrival it was well organized and not crowded. No wait time to board the tram as all tickets are time specific. Great views from the the top and nice hiking trails. 
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,A couple of us with bad knees had a slightly disappointing experience given how much stair walking and a huge 200+ foot hill must be climbed leading back up to the tram.   I was able to hike a mile or so to notch one and a few other spots and thoroughly enjoyed the alpine
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,This was a really cool experience!! We were expecting it to be really cold at the top but because it was so sunny the temperature felt higher than it was.  I wish we’d stayed at the top for longer and done a big hike but we hadn’t given ourselves enough time.  The view is
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"Wow! When I went in 2020, I still remember the turning tram. We were able to see the whole valley and mountains that surrounded it. I can't wait for them to be open again."
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"The Palm Springs Aerial Tramway is the world's largest rotating tram car.   As the tram car slowly rotates 360°, it offers riders picturesque and spectacular vistas during the approximately 10-minute journey to Mt. San Jacinto State Park.   Once reaching the summit, visitors can"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"We booked our ticket online, it sells out fast. You pick the date and time. You have to have a ticket at the entrance and don’t forget to book a parking ticket. We got into the car with other people. The ride one way takes around 5 minutes. We spent sometime looking over the"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,Great experience if you know what to expect.  First you have to buy your tickets online (including a $10 parking pass) in ADVANCE.  Then arrive for your specific time ride up.  They won't let you go early.  Next be aware its quite the view.  Not for the faint of heart.  Plus the
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"Just as a FYI you need to purchase tickets online a couple of weeks in advance, social distancing protocols were good and  everyone seemed  to be following the rules , 10 minute  tram ride up the mountain makes for some fantastic views of the valley below , once up there plenty"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,Huge elevation change and 360 degree scenic views while ascending and descending the aerial tram.  There are a number of hiking trails once you reach the summit that are geared for beginner to advanced hikers.  Well worth the trip for great views of the Coachella valley and
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,"This is a great place to take the family on a nice outing.  There was snow up top and it was cold but we were able to play in the snow.  There’s a nice place to eat and it has good food.  This is a safe, family or couples activity and everyone will enjoy it.  Be patient because"
Palm Springs,Palm Springs Aerial Tramway,9198,Tramways,"World's largest rotating Tram car. Opened in 1963, the Tram's 80-passenger cars travel along the beautiful cliffs of Chino Canyon from the Valley Station (elevation 2,643 ft.) to the Mountain Station (elevation 8,516 ft.) in approximately 10...",4.5,"1 Tramway Rd, Palm Springs, Greater Palm Springs, CA 92262-1828",NA,,You will not be able to buy tickets if you are there. Must order far in advance. Not cool.The city hypes the tram but you can't actually go.
