Destination_name,POI_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,POI_reviews
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"The USS Midway is an iconic part of US Naval and United States History. This is a retried World War 2 era aircraft carrier so there are many narrow passages, narrow and slightly steep stairwells and some very low door jams. A self guided audio tour guides you through the ship"
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,Really enjoyed this tour. Even the teenage boys were interested. Actually going into and around the ship was so interesting. The veterans on hand to answer questions is an awesome way to talk to someone who really lived history is great.
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,Having served in the Navy this was a must see for me on my first trip to San Diego. My husband and I love to hear and learn about history of any kind. All the volunteers here were extremely informative and enjoyable to speak with about their experiences  serving our country. We
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,Wonderful way to spend a day. Shows what life on board a Aircraft carrier is like. Lots of wonderful displays explains everything. Great aircraft.
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"Love all the volunteers who are ex military. A fantastic experience for the entire family, our 4 year old had a blast. To really enjoy your time, make sure to talk to the volunteers, wow what incredible stories."
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,Must go! You and your kids will have a blast. Tons to learn. The yellow hats are the most interesting people. Make sure to ask them questions.
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,This place is beautiful good to take your family.  My children had a great time. Will definitely go again. Staff are friendly and have lots of information to give you.
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"Wonderful mini vacation in San Diego. This hotel is walking distance to Midway , lots of restaurants, it’s a 20 mins boat ride to Coronado island."
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"The volunteer presenters were very knowledgeable, highly suggest listening if time allows.  Being able to view below decks was very interesting and hearing the presentations were well worth it.  Favorite part was the hangar with WW2 planes and flight deck with Cold war, Korean,"
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,My husband went here while our daughter and I went shopping nearby. He’s a long time military guy so really loved it.
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"I never been on or knew just how big an Aircraft Carrier really is... it was amazing to see it in person! How they lived and did things everyday makes you appreciate the space we have at home, even if it is not that much. Didn't think I'd be on there an hour when first getting"
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"This was an awesome experience to share with my son. Just do it. Great for families, you won't be disappointed."
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,Really high quality museum and tour; exceptional displays of our Navy and their commitment to our country.  The Docents were amazing and made the tour what it was.  You could tell they truly loved what they were doing.  They had passion for the material and more knowledgeable
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,My friend and I took 3 15 yo girls and they not only enjoyed it but learned and gained some appreciation for the sacrifices made for them to have a free country. We have to take care not to lose it. The retired navy guys were great!
San Diego,USS Midway Museum,24859,Specialty Museums,"Located in downtown San Diego, the USS Midway (Museum) was America’s longest-serving aircraft carrier of the 20th century. Today, the interactive museum is an unforgettable adventure for the entire family as guests walk in the footsteps of the...",5,"910 N Harbor Drive, San Diego, CA 92101-5811",Suggested Duration:More than 3 hours,,"My family, especially the 5yo Top Gun fanatic, loved seeing the ship and learning the history behind it."
