Destination_name,POI_name,POI_reviews_count,POI_category,POI_description,POI_rating,POI_address,POI_Suggested_Duration,POI_open_close_hours,POI_reviews
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,"We visited the Courthouse on a Friday and the building was locked, so we couldn't go up the clock tower or see the murals.  So we walked the grounds.  I had been here 20 years ago and remembered a beautiful garden.  Last, the reality of the present garden is lackluster and a bit"
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,"Don’t leave town without checking out the courthouse. It’s gorgeous! Lots of local people lounging in the grass, enjoying a beautiful space. "
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,"This government building is beautiful, with architectural details and landscaping that are worth checking out.  "
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,I just attended a civil ceremony on the steps of the Santa Barbara Courthouse.  The grounds are impeccably groomed and very picturesque.
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,Our tour guide Nancy was awesome very friendly and absolutely full of knowledge about the Court house. It's a  beautiful building with beautiful gardens. We enjoyed our visit.
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,We toured the Courthouse for an hour and found it to be interesting. It’s critical to ride the elevator to the top of the clock tower for an extraordinary view. The interior of the old courtroom we toured was beautiful. 
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,Gorgeous and peaceful place to get married and to hang in the lawn for a picnic! A must see experience when in Southern California!
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,A must see. Don't miss this when visiting Santa Barbara. Gorgeous style and construction from the late 1920s. 
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,A beautiful building of early California architecture.  Climb the stairs of the tower for a good view of Santa Barbara.
Santa Barbara,Santa Barbara County Courthouse,2969,"Historic Sites, Points of Interest & Landmarks, Architectural Buildings",Visit the Santa Barbara Courthouse to enjoy a free Self-Guided Exterior Tour and a virtual tour of the Mural Room interior. Use your cell phone or tablet to explore Santa Barbara’s iconic Spanish Colonial Revival Courthouse. The web-based tours...,4.5,"1100 Anacapa St, Santa Barbara, CA 93101-2099",Suggested Duration:< 1 hour,,When tourists come to Santa Barbara they do not expect to find a bunch of homeless people living beneath your feet as you tour the building.  What are they thinking?  Maybe the MAYOR Cathy Murillo would take a little pride in cleaning up the place.  It looks terrible.  Tourists
