POI_name,POI_nearby_name,Address,Distance_miles,Distance_minutes
Disney California Adventure Park,Magic and Wine Theater With David Minkin,"900 S Disneyland Dr Anaheim Majestic Garden Hotel, Anaheim, CA 92802-1844",3 minutes,
Disney California Adventure Park,Fireworks at Disneyland Park,"1313 Disneyland Drive, Anaheim, CA",5 minutes,
Disney California Adventure Park,Disneyland Park,"1313 Disneyland Dr, Anaheim, CA 92802",8 minutes,
Disney California Adventure Park,Star Wars: Galaxy’s Edge,"1313 Disneyland Dr., Anaheim, CA 92802",5 minutes,
Disney California Adventure Park,Goofy's Playhouse,"1313 Disneyland Drive Mickey's Toontown, Anaheim, CA",5 minutes,
Disney California Adventure Park,Donald's Boat,"1313 Disneyland Drive Mickey's Toontown, Anaheim, CA",5 minutes,
Disney California Adventure Park,Tarzan's Treehouse,"1313 Disneyland Drive Adventureland, Anaheim, CA",9 minutes,
Disney California Adventure Park,The Disney Gallery,"1313 Disneyland Drive Main Street, U.S.A., Anaheim, CA",11 minutes,
Disney California Adventure Park,Downtown Disney District,"Disneyland Dr at Katella Ave, Anaheim, CA 92804",12 minutes,
Disney California Adventure Park,Best Coast Tours - Orange County,"23000 Newport Coast Dr, Newport Coast, CA 92657 30801 S Coast Hwy, Laguna Beach, CA 92651, Anaheim, CA 92802",1 miles,
Disney California Adventure Park,Guardians of the Galaxy – Mission: BREAKOUT!,"1313 Disneyland Dr, Anaheim, CA 92802",16 minutes,
Disney California Adventure Park,Redwood Creek Challenge Trail,"1313 Disneyland Drive Grizzly Peak, Anaheim, CA",15 minutes,
Disney California Adventure Park,Luigi's Rollickin' Roadsters,"1313 Disneyland Drive in California Adventure Park, in CarsLand, Anaheim, CA 92802",17 minutes,
Disney California Adventure Park,The Dinner Detective Murder Mystery Dinner Show - Orange County,"1221 S Harbor Blvd Four Points by Sheraton Anaheim, Anaheim, CA 92805-6004",8 minutes,
Disney California Adventure Park,Anaheim Packing District,"440 S Anaheim Blvd Corner of Santa Ana Blvd & Anaheim Blvd, Anaheim, CA 92805-7714",1.2 miles,
Disney California Adventure Park,World of Disney,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",13 minutes,
Disney California Adventure Park,Anaheim Convention Center,"800 W Katella Ave, Anaheim, CA 92802-3496",1.2 miles,
Disney California Adventure Park,The Lego Store,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Ridemakerz,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Sephora,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Build-A-Bear Workshop,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",13 minutes,
Disney California Adventure Park,WonderGround Gallery,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",13 minutes,
Disney California Adventure Park,Fossil,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Disney Vault 28,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Rainforest Cafe Retail Shopping Village,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",13 minutes,
Disney California Adventure Park,Sanuk,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disney California Adventure Park,Pearl Factory,"1580 S Disneyland Dr, Anaheim, CA 92802-2294",12 minutes,
Disneyland Park,Tarzan's Treehouse,"1313 Disneyland Drive Adventureland, Anaheim, CA",3 minutes,
Disneyland Park,The Disney Gallery,"1313 Disneyland Drive Main Street, U.S.A., Anaheim, CA",3 minutes,
